ID_CONM	ID_no	M [t]	I_yy [t*mm2]	S [t*mm]
1	1	0.015672092921204916	3090.1332591049763	1.0750892275792412
2	2	0.02709643988414604	5846.586855217258	1.8793272220126405
3	3	0.029431957367529273	5710.024947796434	2.1222711323144976
4	4	0.021927737379641106	5015.166768127222	1.6266805056167923
5	5	0.02115715720936182	4939.550887019727	1.6263081443015146
6	6	0.020225758872449193	4805.485771519388	1.6113935665842718
7	7	0.01919376825519306	4540.27642137596	0.9166845119857515
8	8	0.6135379991925689	668845.0483973686	-618.6186033519997
9	9	0.01396464452953529	3417.008564058849	1.3187699540691342
10	10	0.015538034695350433	3852.965891277092	1.3782330783148127
11	11	0.016150457696617205	3819.4598135025813	1.32141899051761
12	12	0.01544491025862532	3586.274460279864	0.9794457891026512
13	13	0.01372554671416012	3229.773221889267	0.6026696419715901
14	14	0.012941988653354244	2872.0822263914547	0.47920850028150874
15	15	0.012054401780974614	2520.8161632496117	0.4907682295332257
16	16	0.011104387523560967	2186.7506312681803	0.5934389042067886
17	17	0.010162235561957894	1864.5027393629146	0.6252956998291471
18	18	0.008659074058271456	1478.4181893204432	0.5909468559968718
19	19	0.008179256236052786	1300.9920541654035	0.601239590101846
20	20	0.008293872753592293	1329.6848819411348	0.5898828562743648
21	21	0.007741515677840264	1283.2311777569607	0.529549612479375
22	22	0.007352174877454822	1099.9713139221508	0.5162867288325568
23	23	0.006807960092613293	910.8846055278889	0.4890650239185735
24	24	0.006437043515653674	765.4651585403527	0.4717025766252244
25	25	0.005589645162301571	586.2867260346899	0.41533863827746836
26	26	0.0029013976526984175	255.1055187218893	0.21143091471715136
