ID_CONM	ID_no	M [t]	I_yy [t*mm2]	S [t*mm]
1	1	0.01567299713464728	3090.1346481795013	1.0751767697194965
2	2	0.027098198851015467	5846.59107997566	1.8794976939958308
3	3	0.06921703924840275	5780.728192489578	3.7995189267929614
4	4	0.09845141801189086	5150.761982440459	4.847950697741677
5	5	0.09831601383086681	5252.54190106221	6.540633306212005
6	6	0.09707884894750372	5084.36741653043	6.241009046658988
7	7	0.094814878897191	4571.2369958005875	2.447184998810568
8	8	0.6826015709808101	669149.9310821986	-621.087359039118
9	9	0.0710290922942538	3651.116426226493	4.973801463837913
10	10	0.08078905769950218	4212.744237827704	6.223436139173331
11	11	0.08335190353668129	4081.079179970506	5.514423406326182
12	12	0.07960872632251886	3750.533652902294	4.225911031948841
13	13	0.07044905048802985	3314.268168387816	2.791926287484448
14	14	0.06498819892855415	2912.1242608423054	1.9228242391517365
15	15	0.0590311023544726	2554.381993550956	1.746464147716101
16	16	0.05346145014666208	2267.008479398381	2.110737922631357
17	17	0.04554906950091355	1920.1801522965563	2.5295201500802755
18	18	0.0387729489834648	1553.48269084807	1.8707186533583011
19	19	0.03484169126097452	1383.4836672355157	2.084285445766059
20	20	0.0346753055675699	1409.2841313602098	2.0389997352140554
21	21	0.03150980017817916	1359.64970957545	1.8772649156140084
22	22	0.028389804713102727	1170.7675247001218	1.736690106889065
23	23	0.024843381075588943	978.044479264145	1.589635895900785
24	24	0.014792840935431886	788.5990161696554	0.9113636126948366
25	25	0.005590338682139058	586.2883158028427	0.4153718427312498
26	26	0.002901742151667256	255.1061570714754	0.21144574410601874
