mach,rf,fList,vList,c,v,f,n,rfmin,rfmax,mach,nmach
0,0.195117151,2,8333,1984,8333,2,15,1.495960596,0.195117151,0,7
0.1,10.47172417,14,12301.28571,,63889,170,,10.47172417,#REF!,0.6,
0.2,19.44748775,26,16269.57143,,,,,19.44748775,2.536522961,,
0.3,28.42325133,38,20237.85714,,,,,28.42325133,3.707225866,,
0.4,37.39901491,50,24206.14286,,,,,37.39901491,4.877928771,,
0.5,46.37477849,62,28174.42857,,,,,46.37477849,6.048631676,,
0.6,55.35054207,74,32142.71429,,,,,55.35054207,7.219334581,,
0.7,64.32630564,86,36111,,,,,64.32630564,8.390037486,,
,73.30206922,98,40079.28571,,,,,73.30206922,9.560740391,,
,82.2778328,110,44047.57143,,,,,82.2778328,10.7314433,,
,91.25359638,122,48015.85714,,,,,91.25359638,11.9021462,,
,100.22936,134,51984.14286,,,,,100.22936,13.07284911,,
,109.2051235,146,55952.42857,,,,,109.2051235,14.24355201,,
,118.1808871,158,59920.71429,,,,,118.1808871,15.41425492,,
,127.1566507,170,63889,,,,,127.1566507,16.58495782,,
