mach	rf	fList	vList	vel3	c	v	f	n	rfmin	rfmax	mach	nmach	nvel3	rounddown	roundup
0	0.195117151	2	8333	8000	1984	8333	2	15	1.495960596	0.195117151	0	7	20	8000	64000
0.1	10.47172417	14	12301.28571	10947.36842		63889	170		10.47172417	#REF!	0.6				
0.2	19.44748775	26	16269.57143	13894.73684					19.44748775	2.536522961					
0.3	28.42325133	38	20237.85714	16842.10526					28.42325133	3.707225866					
0.4	37.39901491	50	24206.14286	19789.47368					37.39901491	4.877928771					
0.5	46.37477849	62	28174.42857	22736.84211					46.37477849	6.048631676					
0.6	55.35054207	74	32142.71429	25684.21053					55.35054207	7.219334581					
0.7	64.32630564	86	36111	28631.57895					64.32630564	8.390037486					
	73.30206922	98	40079.28571	31578.94737					73.30206922	9.560740391					
	82.2778328	110	44047.57143	34526.31579					82.2778328	10.7314433					
	91.25359638	122	48015.85714	37473.68421					91.25359638	11.9021462					
	100.22936	134	51984.14286	40421.05263					100.22936	13.07284911					
	109.2051235	146	55952.42857	43368.42105					109.2051235	14.24355201					
	118.1808871	158	59920.71429	46315.78947					118.1808871	15.41425492					
	127.1566507	170	63889	49263.15789					127.1566507	16.58495782					
				52210.52632											
				55157.89474											
				58105.26316											
				61052.63158											
				64000											
