ID_CONM	ID_no	M [t]	I_yy [t*mm2]	S [t*mm]
1	1	0.014254951180149423	2584.142758492981	0.8537786948738219
2	2	0.02554244851744658	5099.84602565986	1.523410398004186
3	3	0.04322548901715798	4736.090105910041	2.4044775282040476
4	4	0.054042755261695136	4277.861072364251	2.6473464058257186
5	5	0.052982309910198304	4230.480336248867	3.321680225167385
6	6	0.051992605389016684	4097.984145027321	3.1497191646184084
7	7	0.05113221917994524	3823.4994720183045	0.9464446707872312
8	8	0.5820944778060839	562095.2445905986	-534.1079618880655
9	9	0.054084196664975735	4222.145280770294	3.628556223760598
10	10	0.044006460029935274	3247.8482658989046	2.542652322142932
11	11	0.040542986704472976	2847.954684663607	1.9742320473654407
12	12	0.037257695550406075	2489.9514359210866	1.4762837065425831
13	13	0.03414723821481159	2171.900078024441	1.0744951478002998
14	14	0.030171393906101573	1877.028735704866	1.14864977640878
15	15	0.02665636239573693	1638.2818307891391	1.213194502483367
16	16	0.0244508458002583	1468.87185333102	1.435298055579313
17	17	0.022400900437684747	1273.601727618736	1.1869222220011284
18	18	0.02046933540792323	1127.7598643328947	1.2919827527511405
19	19	0.018972567829439506	1073.8326129980287	1.1501854472771182
20	20	0.017429713814933526	1085.5178136322847	1.0117657396953257
21	21	0.0156864720394243	920.9344385182429	0.9359087940594485
22	22	0.01406171179944976	775.1587638652426	0.8737620265550811
23	23	0.009183745875722987	615.315906422275	0.5650178444204975
24	24	0.005174396347953201	488.68642340159766	0.36025355298075634
25	25	0.0025654342627955363	201.93233013543545	0.1748757112786094
