ID_no	x[mm]	y[mm]	z[mm]
1	1299.1799999999998	0.0	0
2	1299.1799999999998	416.4695	0
3	1299.1799999999998	832.939	0
4	1299.1315994136085	1191.8755999999998	0
5	1299.0831988272175	1550.8121999999998	0
6	1299.0347982408264	1909.7487999999998	0
7	1298.9863976544352	2268.6854	0
8	1298.937997068044	2627.622	0
9	1298.8719962684197	3117.0809999999997	0
10	1283.5200722647992	3459.947642857143	0
11	1268.1681482611789	3802.8142857142852	0
12	1252.8162242575584	4145.680928571428	0
13	1237.464300253938	4488.54757142857	0
14	1222.1123762503178	4831.4142142857145	0
15	1206.7604522466972	5174.280857142857	0
16	1191.408528243077	5517.1475	0
17	1176.0566042394562	5860.014142857142	0
18	1160.704680235836	6202.880785714286	0
19	1145.3527562322154	6545.747428571428	0
20	1130.000832228595	6888.614071428572	0
21	1114.6489082249745	7231.480714285714	0
22	1099.2969842213543	7574.347357142857	0
23	1083.945060217734	7917.214000000001	0
24	1068.9501577025696	8252.107	0
25	1053.9552551874056	8587.0	0
