ID_CONM2	ID_no	M_lump[t]	I_lump[t*mm2]
1	1	0.014001585347962408	2548.689288722052
2	2	0.024846638058901627	5042.357675515586
3	3	0.025469820296465186	4653.895332625392
4	4	0.019068991304194267	4172.67889648786
5	5	0.01796482743264128	4064.414475849411
6	6	0.01694792289461322	3960.620550900768
7	7	0.016089701598080673	3863.778310135709
8	8	0.044618532736142864	4479.12216627797
9	9	0.01657168515354534	4293.1220783845165
10	10	0.012979017128441751	3172.201362294616
11	11	0.01210256005448682	2821.7857372081703
12	12	0.011262361456421292	2488.1865237830016
13	13	0.010452639258329448	2184.6330978980104
14	14	0.009674808631452866	1909.579994110735
15	15	0.008933797533716724	1661.2689312200828
16	16	0.008255062467199538	1466.5696019191557
17	17	0.007709693568508374	1284.6616967695516
18	18	0.007193917725832452	1120.5515103598218
19	19	0.006732571682702396	969.0422584531622
20	20	0.006313958885632958	829.5640826233652
21	21	0.005904835611051616	704.570714540174
22	22	0.005501774706370161	593.0960451654171
23	23	0.005051135865388926	488.7294520720315
24	24	0.0046191205047884185	399.60081908779256
25	25	0.002293104697251868	166.29548555633107
