ID_CBEAM	ID_no_from	ID_no_to	A [mm2]	I_1 [mm4]	I_2 [mm4]	I_12 [mm4]	J [mm4]
1	1	2	12021.27043738967	350572003.602304	1175029207.2377758	0.0	662446019.9133658
2	2	3	10733.966413433162	314670555.1495112	1052275468.0703373	0.0	597884467.3556552
3	3	4	9559.668005363805	280261046.02195513	938699277.236804	0.0	535268489.63952774
4	4	5	8523.819399336666	248837361.46968767	836193240.0249416	0.0	475273890.31584674
5	5	6	7661.1364196003315	223778513.0653815	746131298.4270188	0.0	419390595.43626606
6	6	7	6888.382872753784	200977670.89132822	665475079.3698583	0.0	370247115.691808
7	7	8	6219.095260850152	180716208.22932807	596847274.8222593	0.0	330043748.2276968
8	8	9	5594.16617574989	159359523.05090857	552931100.3428551	0.0	314001662.7469299
9	9	10	5159.535750526132	144064213.97559008	525977125.0374922	0.0	307728771.11797523
10	10	11	4771.1754361747135	126326346.77121282	469586041.9390154	0.0	271891716.3019871
11	11	12	4263.41041206044	101204220.30332889	392897272.1087751	0.0	222655258.02342814
12	12	13	3769.689366316059	79662173.8026772	324466213.8050241	0.0	179318145.41816562
13	13	14	3285.0634282624437	61301931.39277974	263410777.06624973	0.0	141292911.7852669
14	14	15	2835.7063829720464	46280660.47897272	212027527.20559314	0.0	109690297.2952491
15	15	16	2431.39741625643	34274040.64662214	170459615.92038423	0.0	84316746.42908722
16	16	17	2104.419897381603	25650342.0142761	138163140.1626516	0.0	65317426.406560436
17	17	18	1847.4838589026353	19968525.450834762	113548632.65459676	0.0	52277862.04558646
18	18	19	1642.6133790051745	15876820.533826092	94523146.59736909	0.0	42616281.194406554
19	19	20	1494.0857061777278	12731805.368375674	79738483.74241692	0.0	34850443.7432544
20	20	21	1350.915405022774	9951565.883972587	66262244.290434055	0.0	27833761.297628656
21	21	22	1235.6400671129231	7711425.98901093	54789599.7437246	0.0	21948841.363718435
22	22	23	1162.6795735122257	6104576.257841787	45958033.86524084	0.0	17633419.926829573
23	23	24	1090.3527914858016	4757999.945893957	38168833.30729891	0.0	13974312.212040447
24	24	25	1020.266842202547	3664865.19581333	31487746.349192657	0.0	10960472.302244592
25	25	26	952.3176801894888	2786339.741360135	25788406.2716026	0.0	8505259.857144203
