ID_no	x [mm]	y [mm]	z [mm]	c [mm]	x_LE [mm]	x_TE [mm]
1	1235.6075400787406	0.0	0.0	2441.2470000000003	0.0	2441.2470000000003
2	1232.6974581991362	414.65188648037247	0.0	2441.2470000000003	0.0	2441.2470000000003
3	1231.3477801179959	829.3037729607449	0.0	2441.2470000000003	0.0	2441.2470000000003
4	1228.1467822628385	1196.1236060685958	0.0	2426.1210854189694	12.80963083696063	2438.93071625593
5	1227.6633700133864	1562.943439176447	0.0	2410.995170837938	25.619261673921272	2436.6144325118594
6	1227.6948672355857	1929.7632722842984	0.0	2395.8692562569076	38.428892510881916	2434.2981487677894
7	1226.7	2296.583105392149	0.0	2380.7433416758768	51.23852334784254	2431.9818650237194
8	1225.8	2663.4029385	0.0	2365.6174270948454	64.04815418480318	2429.6655812796484
9	1225.0	2943.277758282478	0.0	2354.076713547423	73.82159825297153	2427.8983118003944
10	1224.2712392937208	3223.1525780649554	0.0	2342.536	83.59504232113986	2426.13104232114
11	1220.6026200451856	3582.494463522478	0.0	2257.424916911976	119.84222155595803	2377.2671384679343
12	1216.929829237381	3941.8363489800004	0.0	2172.313833823952	156.08940079077618	2328.4032346147283
13	1213.2527720825246	4307.610352534	0.0	2085.679286425486	192.98539428003534	2278.6646807055217
14	1210.0222561986232	4673.3843560880005	0.0	1999.044739027021	229.88138776929446	2228.9261267963157
15	1195.3736683745844	5039.1583596420005	0.0	1912.4101916285554	266.7773812585536	2179.187572887109
16	1170.8033398883376	5404.932363196	0.0	1825.77564423009	303.6733747478128	2129.4490189779026
17	1151.3633869550881	5770.706366750001	0.0	1739.1410968316245	340.5693682370719	2079.7104650686965
18	1135.0558313822812	6091.794387669167	0.0	1663.0905434923563	372.95784148613836	2036.0483849784946
19	1120.4746603744582	6412.882408588333	0.0	1587.0399901530886	405.34631473520477	1992.3863048882934
20	1107.3846469077862	6733.9704295075	0.0	1510.989436813821	437.73478798427124	1948.724224798092
21	1091.7046648014461	7096.859079878125	0.0	1425.0382930052706	474.3397329812001	1899.3780259864707
22	1080.5256216835078	7459.74773024875	0.0	1339.0871491967202	510.94467797812894	1850.0318271748492
23	1069.6565338466082	7822.636380619376	0.0	1253.1360053881697	547.5496229750578	1800.6856283632274
24	1059.1329716781129	8185.52503099	0.0	1167.184861579619	584.1545679719866	1751.3394295516057
25	1049.535695450831	8531.767412995003	0.0	1085.1764307898095	619.0803870516253	1704.256817841435
26	1040.4702720226553	8878.009795	0.0	1003.168	654.0062061312638	1657.1742061312639
