ID_no	x [mm]	y [mm]	z [mm]	c [mm]	x_LE [mm]	x_TE [mm]
1	1174.0682776978756	0.0	0.0	2319.712	0.0	2319.712
2	1171.6069608623466	414.648025592733	0.0	2319.712	0.0	2319.712
3	1167.988220075673	829.296051185466	0.0	2319.712	0.0	2319.712
4	1166.63065776773	1187.2374251904648	0.0	2304.952200409341	12.499588213188023	2317.451788622529
5	1166.0772603978148	1545.1787991954636	0.0	2290.1924008186816	24.99917642637605	2315.1915772450575
6	1166.745868889182	1903.1201732004624	0.0	2275.4326012280226	37.49876463956407	2312.9313658675865
7	1208.0906845856393	2261.061547205461	0.0	2260.672801637363	49.99835285275209	2310.6711544901154
8	1259.9955811810576	2619.00292121046	0.0	2245.9130020467046	62.49794106594013	2308.410943112645
9	1168.208994409585	3064.9079442430984	0.0	2227.5260000000003	78.06928759047535	2305.5952875904754
10	1164.2972574552819	3409.7707658013987	0.0	2145.8443912549005	112.85594901329598	2258.7003402681967
11	1160.280266601465	3754.633587359699	0.0	2064.1627825098008	147.6426104361166	2211.8053929459174
12	1156.471234385998	4099.496408917999	0.0	1982.481173764701	182.42927185893726	2164.910445623638
13	1152.9355407752337	4444.3592304763	0.0	1900.7995650196015	217.21593328175783	2118.0154983013595
14	1131.6770826988648	4789.2220520346	0.0	1819.1179562745017	252.00259470457854	2071.1205509790802
15	1110.3516629833687	5112.04921803108	0.0	1742.655546826993	284.5664972756469	2027.22204410264
16	1093.659050976202	5434.87638402756	0.0	1666.1931373794846	317.1303998467154	1983.3235372262
17	1079.1134260891595	5757.70355002404	0.0	1589.7307279319764	349.6943024177839	1939.4250303497602
18	1064.4735668286799	6080.530716020519	0.0	1513.2683184844677	382.2582049888522	1895.52652347332
19	1050.4963652223244	6403.357882017	0.0	1436.805909036959	414.82210755992077	1851.62801659688
20	1036.6846843423075	6748.43006847375	0.0	1355.0747116999585	449.62988783168913	1804.7045995316475
21	1026.054518950727	7093.5022549304995	0.0	1273.3435143629576	484.43766810345755	1757.7811824664152
22	1015.7190911011678	7438.574441387251	0.0	1191.6123170259566	519.2454483752259	1710.8577654011824
23	1005.7122248382075	7783.646627844001	0.0	1109.881119688956	554.0532286469944	1663.9343483359503
24	996.5861658804167	8112.889814922001	0.0	1031.8990598444777	587.2643217503331	1619.1633815948107
25	987.9658475059477	8442.133002	0.0	953.917	620.4754148536717	1574.3924148536717
