ID_CBEAM	ID_no_from	ID_no_to	A [mm2]	I_1 [mm4]	I_2 [mm4]	I_12 [mm4]	J [mm4]
1	1	2	11099.549510630357	292492868.6968237	980763513.3367699	0.0	554427212.5167685
2	2	3	9749.09130012945	257206028.22978926	865784574.5139325	0.0	493971647.1650996
3	3	4	8607.97997057906	226902725.9774679	766654854.1348621	0.0	438950312.2256557
4	4	5	7733.425911300297	203907676.19974256	686750806.03847	0.0	391904895.9435884
5	5	6	6919.426422119796	182496539.9755961	610085334.1078643	0.0	344316554.0065083
6	6	7	6197.35384772096	163098804.3480165	542761247.6045859	0.0	304010057.3228531
7	7	8	5712.324074135611	149574400.3715385	495979608.4935697	0.0	274434137.72167975
8	8	9	5083.934833456125	130370882.50645918	452050541.3280377	0.0	255203999.06486356
9	9	10	4377.312776341725	104640476.21168092	390374850.2502597	0.0	226671848.90015182
10	10	11	3898.3875512790187	83484260.0490334	325469202.1203015	0.0	184914149.42500263
11	11	12	3438.4037521795735	65561213.89351578	268212532.622905	0.0	148551411.7794035
12	12	13	2999.5941485522862	50568129.718807876	218125819.57493496	0.0	117206497.76624528
13	13	14	2577.1319949850576	38093505.3417195	175547302.74006292	0.0	91142288.3149207
14	14	15	2209.2463561418235	28417506.211082317	142088303.48448166	0.0	70732257.4469065
15	15	16	1938.057356003305	21819529.37198555	117289452.01341334	0.0	55966613.8203413
16	16	17	1738.7042561251824	17353241.76477797	98174975.12296534	0.0	45539956.268302225
17	17	18	1565.8376089624012	13837374.484354971	82116388.32703814	0.0	37132314.86141213
18	18	19	1408.7779135012097	10897388.038581338	68348003.80085762	0.0	29891110.518729914
19	19	20	1273.0150946773142	8474305.266615352	56592637.08689731	0.0	23733622.87609157
20	20	21	1174.9752405372003	6630478.729808899	47109481.782190874	0.0	18872168.01832678
21	21	22	1105.5968921644812	5248869.987744525	39515887.58265389	0.0	15161663.20517205
22	22	23	1036.821141900833	4091050.4837559536	32818543.21015166	0.0	12015472.382918116
23	23	24	970.1762059852447	3151146.0832233164	27073980.84335809	0.0	9424098.16387344
24	24	25	905.5631473476196	2395767.906229794	22173547.512838077	0.0	7313045.195133682
