ID_CBEAM	ID_no_from	ID_no_to	A[mm2]	I_1[mm4]	I_2[mm4]	I_12[mm4]	J[mm4]
1	1	2	12157.813231856388	331910581.1343994	1100289834.7034187	0	609701318.2805594
2	2	3	10738.435788303846	292133317.1293697	980814110.442286	0	551800270.5247893
3	3	4	9486.485677828008	256666420.00821224	870458062.4772859	0	491798910.3703331
4	4	5	8417.468523245716	225684368.9081292x7	774617325.5101403	0	437545561.4336214
5	5	6	7433.996321500648	197541294.71884394	685692114.530811	0	386832287.53629756
6	6	7	6556.182113118009	172905479.58038408	604906685.3440291	0	339997895.31021774
7	7	8	6015.555287860448	159584565.0705866	552319696.4402164	0	310479741.098507
8	8	9	5311.214920597938	138852997.88347802	502848069.4726937	0	289387811.6440978
9	9	10	4495.576494783549	109520827.96000421	428137909.1551851	0	249312309.05566987
10	10	11	3988.313373379119	88030296.15450898	354443867.0318891	0	201764914.25617504
11	11	12	3517.3234060455966	69823922.57669456	292514855.64608955	0	162737100.17201173
12	12	13	3072.425847417135	54488518.814529955	239049732.8086349	0	129663523.62780559
13	13	14	2651.9583743828066	41721704.68912536	192719113.39241505	0	101405553.85699528
14	14	15	2259.0925601844306	31267342.771789	153078238.41858956	0	77619163.80368173
15	15	16	1906.940575419992	22915567.125418395	121158013.37487982	0	58391418.90581837
16	16	17	1658.026823477373	17298826.43089737	98600004.30715546	0	45156443.36071091
17	17	18	1488.0195820951396	13578314.084002852	81924788.26970696	0	36162938.14137009
18	18	19	1350.3126383018457	10657902.697371516	68289709.4110474	0	28882784.856914435
19	19	20	1260.4350055610107	8542308.215045812	57794500.38770061	0	23465170.15787267
20	20	21	1190.8801118977594	6883323.443580336	49065659.952807166	0	19175800.06079005
21	21	22	1121.9498443914151	5474488.548394366	41303328.6487124	0	15507330.722216949
22	22	23	1053.6054381160038	4289548.870741732	34439256.93042149	0	12393714.735722627
23	23	24	986.5957897228295	3313860.021303544	28472032.705077477	0	9798457.689029511
24	24	25	920.8515077893917	2519174.5867592692	23315700.227466896	0	7654888.444271009
