ID_CONM2	ID_no	M_lump[t]	I_lump[t*mm2]
27	27	1E-19	1E-19
28	28	1E-19	1E-19
29	29	1E-19	1E-19
30	30	1E-19	1E-19
31	31	1E-19	1E-19
32	32	1E-19	1E-19
33	33	1E-19	1E-19
34	34	1E-19	1E-19
35	35	1E-19	1E-19
36	36	1E-19	1E-19
37	37	1E-19	1E-19
38	38	1E-19	1E-19
39	39	1E-19	1E-19
40	40	1E-19	1E-19
41	41	1E-19	1E-19
42	42	1E-19	1E-19
43	43	1E-19	1E-19
44	44	1E-19	1E-19
45	45	1E-19	1E-19
46	46	1E-19	1E-19
47	47	1E-19	1E-19
48	48	1E-19	1E-19
49	49	1E-19	1E-19
50	50	1E-19	1E-19
51	51	1E-19	1E-19
52	52	1E-19	1E-19
53	53	1E-19	1E-19
54	54	1E-19	1E-19
55	55	1E-19	1E-19
56	56	1E-19	1E-19
57	57	1E-19	1E-19
58	58	1E-19	1E-19
59	59	1E-19	1E-19
60	60	1E-19	1E-19
61	61	1E-19	1E-19
62	62	1E-19	1E-19
63	63	1E-19	1E-19
64	64	1E-19	1E-19
65	65	1E-19	1E-19
66	66	1E-19	1E-19
67	67	1E-19	1E-19
68	68	1E-19	1E-19
69	69	1E-19	1E-19
70	70	1E-19	1E-19
71	71	1E-19	1E-19
72	72	1E-19	1E-19
73	73	1E-19	1E-19
74	74	1E-19	1E-19
75	75	1E-19	1E-19
76	76	1E-19	1E-19
77	77	1E-19	1E-19
78	78	1E-19	1E-19
